Gene,Degree,Betweenness,Closeness,EigenCentrality,Eccentricity,ClosenessLatora,ClosenessResidual,Decay,Geokpath,Laplacian,Leverage,Lobby,Mnc,Semilocal,Topocoefficient,Kcore,ClusteringCoefficient,CrRatio,Class
TSPO,3,159931.9137,1.45E-08,0.00010042,0.0625,4258.542172,666.6964722,26,257,58,-0.244736842,3,1,5743,3,2,0,0,NotCR
MAPK11,8,1497.614885,1.45E-08,0.013187339,0.066666667,5395.005073,1384.018585,407,5137,870,-0.550346695,8,7,597869,6.713567839,7,0.214285714,0,NotCR
ATG7,14,32099.56439,1.45E-08,0.010213927,0.066666667,5447.723807,1418.14682,503,5341,1188,-0.29164994,13,9,541517,10.1399177,11,0.120879121,0.285714286,CR
ATG3,13,36003.66671,1.45E-08,0.006048624,0.0625,5321.396877,1339.44957,513,4344,1182,-0.334879789,13,10,439073,9.154929577,11,0.179487179,0.384615385,NotCR
PIK3CB,9,1823.642874,1.45E-08,0.016953631,0.0625,5578.106058,1514.565552,944,6118,1960,-0.69228811,9,8,1131672,5.926124197,8,0.694444444,0,NotCR
RGS12,3,4197.011936,1.45E-08,0.000217426,0.058823529,4470.554625,791.6996155,47,724,100,-0.531746032,3,2,16907,2.23255814,3,0.333333333,0.666666667,NotCR
COQ2,2,1480.944932,1.45E-08,0.004319191,0.0625,5265.250556,1319.528671,673,4258,1348,-0.932378281,2,1,721803,2,2,0,0,NotCR
WDFY3,9,3339.846435,1.45E-08,0.008592038,0.0625,5433.230528,1412.290039,516,5163,1104,-0.604885408,9,8,551211,6.669960474,8,0.194444444,0.444444444,NotCR
MAPK10,13,4178.786963,1.45E-08,0.017565271,0.066666667,5511.713659,1463.630585,518,5934,1192,-0.280967119,12,4,759907,10.12851406,10,0.051282051,0,NotCR
SH3RF1,10,84111.22019,1.45E-08,0.007605966,0.0625,5384.26731,1379.383667,354,5109,798,-0.296735664,9,2,404213,8.69047619,8,0.022222222,0,NotCR
